qubits,best_layer,fidelity
5.000000000000000000e+00,1.000000000000000000e+00,9.998185561318529979e-01
6.000000000000000000e+00,1.000000000000000000e+00,9.996137209873180440e-01
7.000000000000000000e+00,5.400000000000000000e+01,9.995574869795349482e-01
8.000000000000000000e+00,1.190000000000000000e+02,9.991629032975242186e-01
9.000000000000000000e+00,2.290000000000000000e+02,9.991623414842224493e-01
