qubits,best_layer,fidelity
5.000000000000000000e+00,5.000000000000000000e+00,9.990740555203617701e-01
6.000000000000000000e+00,2.000000000000000000e+00,9.990899274187484691e-01
7.000000000000000000e+00,6.500000000000000000e+01,9.991419916066408557e-01
8.000000000000000000e+00,1.220000000000000000e+02,9.990664440494159138e-01
9.000000000000000000e+00,2.580000000000000000e+02,9.990769751349032335e-01
