layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
0.000000000000000000e+00,9.983477074905336979e-01,1.164834033347627402e-03,4.607723343347918657e-04,2.044764307811954631e-05,5.901454234968954824e-06,3.156679031399910777e-07,1.602388660608688663e-08,5.352681294710925446e-09,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
1.000000000000000000e+00,9.991289649868437817e-01,5.965520887158582038e-04,1.987068182847169138e-04,5.744137657028930899e-05,1.032000593654079900e-05,7.066582100598672829e-06,9.135067844741153228e-07,3.463476269713408477e-08,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
2.000000000000000000e+00,9.993143231224808076e-01,5.369399537801437892e-04,1.143527173459020724e-04,2.536760815394960297e-05,5.862085241523802097e-06,2.171741337195995612e-06,8.469770585657226116e-07,1.357946035337031733e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
3.000000000000000000e+00,9.979858517142194962e-01,1.531220501354669172e-03,3.837587418614185901e-04,9.247617481815992128e-05,3.889002487442556687e-06,1.361023425576060467e-06,1.074041594200973085e-06,3.688002403295580112e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
4.000000000000000000e+00,9.939344007000061598e-01,5.194792631274715820e-03,6.263038255403087853e-04,2.385267769409853426e-04,4.313751906442281559e-06,8.326248524876837973e-07,4.812552471022179506e-07,3.484342305473059406e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
5.000000000000000000e+00,9.741751859977667571e-01,2.311131631983658757e-02,2.212233036084559467e-03,4.978923394174454261e-04,1.610329818348058778e-06,1.040210387704846287e-06,4.202775347571164329e-07,3.014891554058798584e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
6.000000000000000000e+00,9.712191374304908198e-01,1.792120816496306848e-02,8.226437958917641111e-03,2.631136408266904290e-03,9.143228616482636427e-07,6.505432382526505461e-07,3.886713970076557328e-07,1.264998669778944999e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
7.000000000000000000e+00,9.778849654593166907e-01,1.128689025002470141e-02,7.352838079203899077e-03,3.473676653731901705e-03,8.592439647204395219e-07,4.009829444457148977e-07,2.277822663327192863e-07,1.415485504358242871e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
8.000000000000000000e+00,9.807186239293095298e-01,1.164512331295112883e-02,5.988282868657503720e-03,1.646976454403285264e-03,3.718766060763606973e-07,3.102451237754112352e-07,1.898895645015445350e-07,1.214233857731269487e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
9.000000000000000000e+00,9.752474592161243239e-01,1.269341501695499079e-02,7.934336717727150448e-03,4.123964174008279936e-03,3.173265214030517633e-07,2.344383296275860603e-07,1.512716136004062338e-07,1.218387235407217040e-07,9.688718143562953244e-01,3.072308879349666677e-02,4.016829933674451528e-04,3.393998611924461680e-06,1.974325171691201137e-08,1.147304990773489076e-10,2.442995983281975024e-13,1.626690413954887033e-15
