layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
0.000000000000000000e+00,9.999509504296525408e-01,4.780792877455367632e-05,1.223013011347266628e-06,1.592579215244478414e-08,1.646255564958059309e-09,1.048715507318232404e-09,7.093566918417551016e-12,6.398651601456058929e-13,5.280453227553630725e-14,1.070356282456978781e-14,1.203797851979967656e-15,1.189967003433564555e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.995189693535854181e-01,4.797347518941880769e-04,1.154332193105832004e-06,1.281252039908960002e-07,5.703529324939209920e-09,4.744194778378983797e-09,2.306115353579385522e-09,3.994927728743968630e-10,1.488306389930395646e-10,1.275295427195033378e-10,4.630351044449830697e-12,1.871739615167892986e-12,5.848536221450671469e-13,2.103191959007772014e-13,1.052933535498818120e-13,2.799552129644456203e-14,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.995994113157549155e-01,3.975014870563511708e-04,1.820691447769117551e-06,1.132245637023651059e-06,6.742686389983951388e-08,4.354554404000085815e-08,1.568517687080188059e-08,5.350500678157718446e-09,1.229382003589270645e-09,6.121293288298821425e-10,2.044346496087694660e-10,1.224807648050536619e-10,5.103107735884017006e-11,2.301933562312256682e-11,7.181371892451337148e-12,2.360189534049374876e-12,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.949948383115649886e-01,4.943146095007815675e-03,4.156019801283232230e-05,1.948796446728112301e-05,7.027346219840541591e-07,1.422609751161274969e-07,4.853599155606975714e-08,3.627183701447414513e-08,1.804055248235035844e-08,1.095535296078398045e-08,5.555833657381509315e-09,1.675540164012971901e-09,5.335473632635179698e-10,4.516503925423263952e-10,3.603955623600612011e-10,5.464987521690602624e-11,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.982587179280713041e-01,1.489180115060705642e-03,1.277457530311762782e-04,1.034474512011281235e-04,1.765335104940629886e-05,2.538926782095190315e-06,3.811070900189525026e-07,1.416043274749999008e-07,7.123011199618044310e-08,4.951310041494895391e-08,3.405429037569746834e-08,1.635044029508469814e-08,1.234050500407255972e-08,7.668873764394447470e-09,1.641497063841324092e-09,9.645674303538060728e-10,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.589597276913250923e-01,4.038630437489633407e-02,5.267743123422739338e-04,8.513683533329567763e-05,3.205081214325535623e-05,6.286842955053204427e-06,2.200326296064198765e-06,5.993243609510295178e-07,4.918327119073556342e-07,2.212825359605501498e-07,8.375024842134282015e-08,6.210284195653701189e-08,3.087847981810105872e-08,1.406709997803485075e-08,1.084312546674710795e-08,4.723306025011774784e-09,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.839189281664774134e-01,1.265996642421294942e-02,2.622530224288337989e-03,6.583616191559301875e-04,6.175001504803239686e-05,5.977552491833886027e-05,1.094345071734638668e-05,3.321895055564722235e-06,1.561991886782292987e-06,1.504826017734924127e-06,7.261881380912791176e-07,3.800390354543643552e-07,1.305636230852634607e-07,8.894980527318022860e-08,2.242775490461510899e-08,7.693865522276299224e-09,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.808516614112828824e-01,1.536670197369128729e-02,2.330790876659152074e-03,1.062255712936432126e-03,1.947083745435441353e-04,1.018376748699143680e-04,3.794946806040955521e-05,2.333458522636635079e-05,1.205697778396145303e-05,6.897314203209489008e-06,5.484132580308001252e-06,2.784917436847187473e-06,1.990752655620458362e-06,1.385832738022525036e-06,1.413226738751162511e-07,1.867266060438896625e-08,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,9.794668622193855034e-01,1.642506520875805856e-02,1.713188663234730845e-03,1.288698313069770209e-03,6.006070418538229970e-04,2.043315251375521827e-04,1.168602575695759676e-04,8.561261092777530744e-05,5.161939736537328027e-05,2.375414602647045990e-05,1.472659881016703435e-05,6.379920955408483750e-06,1.521987388910375328e-06,5.312822714275066963e-07,2.051048641912844634e-07,3.572238265105408377e-08,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.739575974180826323e-01,1.500861361171489626e-02,5.514854567411102068e-03,2.742104715891357028e-03,1.424095664889785378e-03,6.380469554799273520e-04,3.257143484454735438e-04,1.564001655442684316e-04,9.341989113547238810e-05,5.910933119118361493e-05,2.884143661056125688e-05,1.891593742934730358e-05,1.591828350628735064e-05,9.293487511720771837e-06,5.999140492487916185e-06,1.075044665569113819e-06,9.979791850248931340e-01,2.019196059131899909e-03,1.618099818050335348e-06,8.158618062846084821e-10,2.945324907399435033e-13,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
