layer,chi_s1,chi_s2,chi_s3,chi_s4,target_s1,target_s2,target_s3,target_s4
0.000000000000000000e+00,9.999997720352050701e-01,2.228040600035821755e-07,5.160261647859294866e-09,4.729455675375729276e-13,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.000000000000000000e+00,9.999604075941694870e-01,3.954500717298474883e-05,4.548572036613317234e-08,1.912936529491397106e-09,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
2.000000000000000000e+00,9.998151096535657922e-01,1.801247411641203507e-04,4.677516264458293343e-06,8.808900586330726305e-08,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
3.000000000000000000e+00,9.987411043694893742e-01,1.255098014996666733e-03,3.268193188071376676e-06,5.294223270131896356e-07,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
4.000000000000000000e+00,9.994517418578885426e-01,5.242979991528027694e-04,2.314378862193811306e-05,8.163543358415908431e-07,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
5.000000000000000000e+00,9.992603308070074908e-01,5.949392389735021778e-04,1.395805726627839349e-04,5.149381357094372404e-06,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
6.000000000000000000e+00,9.988939548494989440e-01,7.685813348413422135e-04,3.078083767141423749e-04,2.965543894649879430e-05,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
7.000000000000000000e+00,9.979289407137845735e-01,1.124446296386640790e-03,7.686194938357502953e-04,1.779934959937178463e-04,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
8.000000000000000000e+00,9.947004054797237149e-01,2.812339523868450427e-03,1.942923815735715133e-03,5.443311806730310098e-04,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
9.000000000000000000e+00,9.920395971683777514e-01,6.106713492110581176e-03,1.125504834902188011e-03,7.281845046112010158e-04,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.000000000000000000e+01,9.859177708804153228e-01,7.432849120782261849e-03,5.822697529143308973e-03,8.266824696611181807e-04,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.100000000000000000e+01,9.889018737433075135e-01,7.217412360850028116e-03,2.983057936337160914e-03,8.976559595084849510e-04,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.200000000000000000e+01,9.798564630578011636e-01,9.436640462431450382e-03,6.794227491225596563e-03,3.912668988540497945e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.300000000000000000e+01,9.792462321950861082e-01,1.012195529537679786e-02,5.946430317259946557e-03,4.685382192277784061e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.400000000000000000e+01,9.668459198604326676e-01,2.015256107007528871e-02,6.958382662105126737e-03,6.043136407387193591e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.500000000000000000e+01,9.666800154656919331e-01,1.659517383517934014e-02,1.073432787654156513e-02,5.990482822588063735e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.600000000000000000e+01,9.528618725002506729e-01,2.620013232960643340e-02,1.318435129460424245e-02,7.753643875538537671e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.700000000000000000e+01,9.502945883158224749e-01,2.494449366996919631e-02,1.393841544199313567e-02,1.082250257221551749e-02,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.800000000000000000e+01,9.439911618397804904e-01,2.505020730035715723e-02,1.794559168691345699e-02,1.301303917295133956e-02,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
1.900000000000000000e+01,9.476922943702406066e-01,2.348811575494220288e-02,1.936155270684321653e-02,9.458037167974147480e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
2.000000000000000000e+01,9.595305781850016480e-01,1.873249403013394626e-02,1.196770997752260798e-02,9.769217807342552365e-03,9.998808112332840947e-01,1.191842205944271813e-04,4.546055143563802800e-09,6.495057763963757248e-14
