layer,chi_s1,chi_s2,target_s1,target_s2
0.000000000000000000e+00,9.999999885484773809e-01,1.145152239440576812e-08,9.999761590648967857e-01,2.384093510204682943e-05
1.000000000000000000e+00,9.997257874940903566e-01,2.742125059089994495e-04,9.999761590648967857e-01,2.384093510204682943e-05
2.000000000000000000e+00,9.987314330674967877e-01,1.268566932502722009e-03,9.999761590648967857e-01,2.384093510204682943e-05
3.000000000000000000e+00,9.981559362521826850e-01,1.844063747818459886e-03,9.999761590648967857e-01,2.384093510204682943e-05
4.000000000000000000e+00,9.968761505483808572e-01,3.123849451619601248e-03,9.999761590648967857e-01,2.384093510204682943e-05
5.000000000000000000e+00,9.978986498413183748e-01,2.101350158682385900e-03,9.999761590648967857e-01,2.384093510204682943e-05
6.000000000000000000e+00,9.974048923883008788e-01,2.595107611700245721e-03,9.999761590648967857e-01,2.384093510204682943e-05
7.000000000000000000e+00,9.984540731252444790e-01,1.545926874756606111e-03,9.999761590648967857e-01,2.384093510204682943e-05
8.000000000000000000e+00,9.963300972651603082e-01,3.669902734841111198e-03,9.999761590648967857e-01,2.384093510204682943e-05
9.000000000000000000e+00,9.950114521262851675e-01,4.988547873717741679e-03,9.999761590648967857e-01,2.384093510204682943e-05
1.000000000000000000e+01,9.928549516889555449e-01,7.145048311046106604e-03,9.999761590648967857e-01,2.384093510204682943e-05
1.100000000000000000e+01,9.932990230787608343e-01,6.700976921241613357e-03,9.999761590648967857e-01,2.384093510204682943e-05
1.200000000000000000e+01,9.727416110036382069e-01,2.725838899636031862e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.300000000000000000e+01,9.861315847400038415e-01,1.386841525999667549e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.400000000000000000e+01,9.865001499008636543e-01,1.349985009913688000e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.500000000000000000e+01,9.794777111127208613e-01,2.052228888728066178e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.600000000000000000e+01,9.541717194920419365e-01,4.582828050795764718e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.700000000000000000e+01,9.622151161485843485e-01,3.778488385141636624e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.800000000000000000e+01,9.658774050487751728e-01,3.412259495122758196e-02,9.999761590648967857e-01,2.384093510204682943e-05
1.900000000000000000e+01,9.628319478469590242e-01,3.716805215304076759e-02,9.999761590648967857e-01,2.384093510204682943e-05
2.000000000000000000e+01,9.707748962454724184e-01,2.922510375452867099e-02,9.999761590648967857e-01,2.384093510204682943e-05
