qubits,best_layer,fidelity
5.000000000000000000e+00,1.000000000000000000e+00,9.993727079711705041e-01
6.000000000000000000e+00,1.000000000000000000e+00,9.991249189357410687e-01
7.000000000000000000e+00,2.000000000000000000e+00,9.996010523002492043e-01
8.000000000000000000e+00,2.000000000000000000e+00,9.991483303122175030e-01
9.000000000000000000e+00,3.000000000000000000e+00,9.992655949970180584e-01
1.000000000000000000e+01,3.000000000000000000e+00,9.990517338852141771e-01
