layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
1.000000000000000000e+01,9.632147315961215872e-01,1.763376539816314745e-02,1.191159249625208666e-02,6.989836119286098499e-03,9.236630278817563886e-05,6.719024461181233104e-05,5.140210645080533082e-05,3.911573632886103716e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.100000000000000000e+01,9.647291538692924773e-01,1.709551345745861581e-02,9.290528016128557845e-03,8.635570796301412361e-03,8.104199873228804560e-05,7.441673565763507001e-05,5.646752744119492017e-05,3.730759898621232191e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.200000000000000000e+01,9.652977451885655924e-01,1.661801758995035821e-02,1.089545680661036485e-02,6.980765367594501600e-03,8.128925584259332707e-05,5.871094837989953376e-05,3.774918150799185115e-05,3.026566155229950243e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.300000000000000000e+01,9.640306004164082010e-01,1.854631020493649821e-02,1.046406361873510049e-02,6.791550303933194949e-03,5.884875971991840039e-05,4.891755308855788294e-05,3.706768308012060696e-05,2.264146009748536806e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.400000000000000000e+01,9.638699356532708373e-01,1.777094654902697246e-02,1.067425239289706250e-02,7.527569273401606489e-03,5.544880542989271788e-05,4.164541876924405904e-05,3.271083059661952233e-05,2.749107660529415828e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.500000000000000000e+01,9.626784633645280032e-01,1.434166213425416142e-02,1.205247315382655324e-02,1.078825509753947656e-02,5.357818826032382148e-05,3.893672314694038799e-05,3.197889240576278961e-05,1.465244604010171069e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.600000000000000000e+01,9.668974077493176500e-01,1.357972693752067771e-02,1.264573802817038975e-02,6.747908940223447220e-03,4.521937844207179683e-05,3.886444174405227287e-05,2.495237549038954196e-05,2.018214909450734379e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.700000000000000000e+01,9.653577041526983926e-01,1.477923366750415538e-02,1.115345607606372559e-02,8.609640691985488009e-03,3.434310652618010890e-05,2.422509467668837024e-05,2.199434986571974888e-05,1.940286068006154442e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.800000000000000000e+01,9.656172001443380504e-01,1.428435559936669548e-02,1.162174166763758031e-02,8.377525694407221210e-03,3.563171593958227505e-05,2.703701073414597919e-05,1.968878420022699099e-05,1.681938337439536988e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.900000000000000000e+01,9.633055096237270742e-01,1.814450906963140445e-02,9.702940589830412119e-03,8.757674072297480516e-03,2.877347832990069624e-05,2.691495065073684851e-05,2.096209160545010352e-05,1.271612393002395101e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
2.000000000000000000e+01,9.609720457190593645e-01,1.636160658249385252e-02,1.307193031296192270e-02,9.510813534838187533e-03,3.094993811571920573e-05,2.063959713705075741e-05,1.738467197966661479e-05,1.462964341450980691e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
