layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
0.000000000000000000e+00,9.411638018825877472e-01,2.723080540541459454e-02,1.577362918109223230e-02,1.345752246286118468e-02,1.853200110196610894e-03,4.815409715156564706e-04,2.853031973172734712e-05,1.096966659959466863e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
1.000000000000000000e+00,9.671951616777411109e-01,1.558721830191282971e-02,1.178332896009429316e-02,2.499369795939293624e-03,1.727367298974372438e-03,8.996978109640102212e-04,1.924652943895280082e-04,1.153908599848744418e-04,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
2.000000000000000000e+00,9.782968573562113024e-01,1.286966935415449764e-02,5.841612609881537133e-03,1.686053314897408570e-03,8.207802814571748531e-04,2.457147871551961264e-04,1.603928909782131700e-04,7.891940526430743139e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
3.000000000000000000e+00,9.805857622128009154e-01,1.137208117101567821e-02,4.090421590610138387e-03,2.189384093670316677e-03,1.187038659828559264e-03,3.326801849892929469e-04,2.067438760828176558e-04,3.588821100283632351e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
4.000000000000000000e+00,9.819156561866682065e-01,1.148264007281763269e-02,4.135543992774911963e-03,1.610126194107432520e-03,3.472447289802510799e-04,3.040247148723479649e-04,1.215854392036475133e-04,8.317867057517479713e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
5.000000000000000000e+00,9.850495647649423203e-01,7.468150887902405034e-03,4.937531472334400970e-03,1.855963598139287853e-03,2.934477923481563903e-04,1.654448530257351144e-04,1.462391891497595965e-04,8.365744215954575502e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
6.000000000000000000e+00,9.840589479204487899e-01,6.888165152845805370e-03,5.409534584699466492e-03,3.167864206179944048e-03,1.668730150924847703e-04,1.448624703079618424e-04,8.569691636546869571e-05,7.805573405993947178e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
7.000000000000000000e+00,9.817092939564530107e-01,7.830765470962093924e-03,6.284319414687994897e-03,3.794697469762710156e-03,1.312825337688896914e-04,1.029678227459049930e-04,8.507750277899089766e-05,6.159582883828985348e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
8.000000000000000000e+00,9.779234849315855405e-01,1.003706786337570621e-02,8.156036804506524088e-03,3.557047102084359008e-03,1.074716193165605610e-04,9.005825697300390840e-05,6.539606845949583929e-05,6.343735369602323062e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
9.000000000000000000e+00,9.658284295139406561e-01,1.925088535138666165e-02,1.096159185520838297e-02,3.678807197403297785e-03,9.320035827044881912e-05,8.403211606969294436e-05,5.611983761471569496e-05,4.693377010912497483e-05,9.171270213239907099e-01,4.018763544869446980e-02,3.996747550347352212e-02,2.634591343345012507e-03,4.968197739271958905e-05,1.755035793856846014e-05,1.600266220411935268e-05,4.138295727244535186e-08
