layer,chi_s1,chi_s2,chi_s3,chi_s4,target_s1,target_s2,target_s3,target_s4
0.000000000000000000e+00,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.000000000000000000e+00,9.722361193031451299e-01,1.321996637040127008e-02,9.403633238378807796e-03,5.140281088075523454e-03,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
2.000000000000000000e+00,9.799958833315279838e-01,1.426140397071132965e-02,4.186150781331090566e-03,1.556561916428774155e-03,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
3.000000000000000000e+00,9.840627580062466517e-01,1.386257190531138377e-02,1.458308882892046104e-03,6.163612055508297782e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
4.000000000000000000e+00,9.911351558368476367e-01,7.808946387068903608e-03,6.319416913036102895e-04,4.239560847795366535e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
5.000000000000000000e+00,9.905430139610521545e-01,8.668317971140419853e-03,4.861814975965415798e-04,3.024865702126615158e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
6.000000000000000000e+00,9.877426886876503609e-01,1.168017252684213150e-02,3.406909156031082977e-04,2.364478699045584429e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
7.000000000000000000e+00,9.874702192257122091e-01,1.208698254532967857e-02,2.329217265637564262e-04,2.098765023922469523e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
8.000000000000000000e+00,9.845526523740104619e-01,1.507481594194924612e-02,2.173954245146295593e-04,1.551362595224714655e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
9.000000000000000000e+00,9.721395645362181925e-01,2.754398726804230604e-02,1.942899423611522697e-04,1.221582533810323609e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.000000000000000000e+01,9.795668307479704628e-01,2.013499133237968419e-02,1.607623822454450437e-04,1.374155374066443299e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.100000000000000000e+01,9.739853645339981991e-01,2.575192747854829559e-02,1.407710636596022592e-04,1.219369237918648419e-04,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.200000000000000000e+01,9.726515770748379586e-01,2.712896862412153554e-02,1.243420782237105728e-04,9.511222281980151634e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.300000000000000000e+01,9.806938887357974366e-01,1.912575956026037194e-02,1.051787281608411142e-04,7.517297577982674946e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.400000000000000000e+01,9.708828208803023108e-01,2.894958652226730170e-02,8.941954620804383382e-05,7.817305121994961258e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.500000000000000000e+01,9.750965808429887804e-01,2.475451108701197736e-02,8.305949387688266010e-05,6.584857612404072390e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.600000000000000000e+01,9.793496908461584161e-01,2.051394006941340345e-02,8.398840240207067263e-05,5.238068202896696373e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.700000000000000000e+01,9.762725799261032789e-01,2.361419816466445512e-02,6.406803802754469266e-05,4.915387120504755166e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.800000000000000000e+01,9.772762771900336265e-01,2.262131624547374792e-02,5.870479267723453955e-05,4.370177181343425673e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
1.900000000000000000e+01,9.722874670542631659e-01,2.761822728408083738e-02,5.302425387214215947e-05,4.128140778600448090e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
2.000000000000000000e+01,9.770328066839381043e-01,2.287938842241113088e-02,5.236484857407258382e-05,3.544004507786295067e-05,9.224107914459563906e-01,4.051377608678956299e-02,3.685186763980632940e-02,2.235648274445441869e-04
