layer,chi_s1,chi_s2,target_s1,target_s2
0.000000000000000000e+00,9.999981228612951911e-01,1.877138704639604104e-06,9.997440329401120485e-01,2.559670598864642339e-04
1.000000000000000000e+00,9.999907784276493850e-01,9.221572351054261896e-06,9.997440329401120485e-01,2.559670598864642339e-04
2.000000000000000000e+00,9.999888260726517153e-01,1.117392734878373964e-05,9.997440329401120485e-01,2.559670598864642339e-04
3.000000000000000000e+00,9.994577122629796362e-01,5.422877370201645373e-04,9.997440329401120485e-01,2.559670598864642339e-04
4.000000000000000000e+00,9.998383247475899349e-01,1.616752524100687437e-04,9.997440329401120485e-01,2.559670598864642339e-04
5.000000000000000000e+00,9.999228863948013135e-01,7.711360520048842968e-05,9.997440329401120485e-01,2.559670598864642339e-04
6.000000000000000000e+00,9.996193907601117479e-01,3.806092398885780378e-04,9.997440329401120485e-01,2.559670598864642339e-04
7.000000000000000000e+00,9.998973039103687954e-01,1.026960896305261802e-04,9.997440329401120485e-01,2.559670598864642339e-04
8.000000000000000000e+00,9.994216977247406541e-01,5.783022752584357756e-04,9.997440329401120485e-01,2.559670598864642339e-04
9.000000000000000000e+00,9.996363551380703649e-01,3.636448619312717886e-04,9.997440329401120485e-01,2.559670598864642339e-04
1.000000000000000000e+01,9.974786168547459253e-01,2.521383145255705338e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.100000000000000000e+01,9.975348454175158031e-01,2.465154582483599765e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.200000000000000000e+01,9.950274469389768228e-01,4.972553061026153964e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.300000000000000000e+01,9.948240409596825762e-01,5.175959040317236470e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.400000000000000000e+01,9.946924816907409816e-01,5.307518309257343476e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.500000000000000000e+01,9.932322437104901258e-01,6.767756289509862036e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.600000000000000000e+01,9.932884026866359850e-01,6.711597313364216222e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.700000000000000000e+01,9.856274383127531236e-01,1.437256168724663878e-02,9.997440329401120485e-01,2.559670598864642339e-04
1.800000000000000000e+01,9.902790758843176278e-01,9.720924115679208111e-03,9.997440329401120485e-01,2.559670598864642339e-04
1.900000000000000000e+01,9.843714809937171850e-01,1.562851900628501114e-02,9.997440329401120485e-01,2.559670598864642339e-04
2.000000000000000000e+01,9.802687327154715469e-01,1.973126728452920947e-02,9.997440329401120485e-01,2.559670598864642339e-04
