layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
0.000000000000000000e+00,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.929312293857714966e-01,5.827010532997094899e-03,8.427567053055314873e-04,1.761996167120546996e-04,9.317068925619463094e-05,7.022371870312592464e-05,5.098043915303028891e-05,7.600642825169732209e-06,5.210073668661283576e-07,1.818825180778559731e-07,7.498148008237806589e-08,3.590647033395986704e-08,9.314969542884817780e-09,3.414010567526411232e-09,1.619722236450555498e-09,1.427383807573159669e-10,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.943269903837792523e-01,3.737882700474926424e-03,9.075490404369346243e-04,5.323437959531521387e-04,2.747589747521961691e-04,1.038461883553133561e-04,7.669974216208214827e-05,3.844761001335823982e-05,8.587532073822519104e-07,3.147864409754863194e-07,1.454514924190914755e-07,9.173954303919420913e-08,5.605779571790752802e-08,8.859171376692178007e-09,4.422034935948252187e-09,1.494386159725300455e-09,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.930611846018159161e-01,3.388897204815993248e-03,1.994104788734760245e-03,9.798610620766893316e-04,2.851856156639180412e-04,1.539391909495468555e-04,8.341673006542985199e-05,4.937464338508832778e-05,2.244301809217980061e-06,7.572994789807494303e-07,6.175353641506780300e-07,1.962652364686071608e-07,9.823802463905666324e-08,9.035328608856537486e-08,2.469809986711391699e-08,7.471193155111816432e-09,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.892151751220017442e-01,5.627892414617563163e-03,2.561843999933336065e-03,1.583028017699437615e-03,4.866707279293010658e-04,2.481834167581691724e-04,1.530835248171147453e-04,1.175304528313789019e-04,3.620915687408566950e-06,1.270890785626379920e-06,6.572018941190706212e-07,3.948009879062983025e-07,2.790297564456699779e-07,1.750117834571687611e-07,1.472347727907902785e-07,4.723774403205211086e-08,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.784087840196024066e-01,1.258818478294312926e-02,4.228838165379049385e-03,3.215058976850177809e-03,8.401576901554661013e-04,2.964692712008129430e-04,2.791723707936126140e-04,1.360803794785972118e-04,2.817453374097457258e-06,1.462254977234929044e-06,1.204855245598871630e-06,6.071792557024291886e-07,5.018718399110317200e-07,4.151753646899098780e-07,1.793418475006241523e-07,6.621169264951790561e-08,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.795351380248268347e-01,1.038632970044289436e-02,5.140124797292924645e-03,2.244611566893963718e-03,1.351076584760486877e-03,7.265092226320701884e-04,4.514311747415927453e-04,1.520951259231388187e-04,6.482374128099750130e-06,2.558206501121225763e-06,1.214527321290881788e-06,1.030873757439768007e-06,6.394581753072675350e-07,3.229575006356515990e-07,2.582307361837808178e-07,1.771743652122628528e-07,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.788423850065097742e-01,7.725295210304051162e-03,4.887781670667229114e-03,3.274596189274969239e-03,2.559351943226451879e-03,1.417644937042506544e-03,8.985669120162480608e-04,3.750163740592841869e-04,9.780165377151532559e-06,3.850732527556018870e-06,1.875177059350503040e-06,1.710146091968560105e-06,1.203114324960203795e-06,4.661889494541004709e-07,2.577327306458604740e-07,2.184998379171166605e-07,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,9.749824228630769030e-01,1.036931665880574428e-02,6.828881820705207106e-03,3.256435590241962743e-03,2.665931497576780416e-03,1.144036510170827860e-03,4.193293186114280084e-04,2.951303608295975938e-04,1.869186932692661131e-05,9.278675299087092842e-06,5.431405979535414589e-06,1.892147745679782836e-06,1.222496613205864625e-06,9.944507963830570879e-07,6.438290001013743202e-07,3.605052176288012653e-07,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.645188723492306160e-01,1.495461240929178010e-02,7.242420340655078212e-03,5.221451133895387182e-03,4.518391093644082146e-03,1.553249922111929384e-03,1.373222178504550665e-03,5.559757270866863251e-04,2.922952159992745570e-05,1.223066100508409635e-05,8.708841641380104466e-06,6.385996570912055836e-06,2.761209432069697092e-06,1.250020689774817331e-06,8.900614502365302278e-07,3.485331913670200043e-07,9.835268903917689931e-01,1.553264811181913341e-02,7.038085367628326349e-04,2.170662207083211379e-04,1.949112041682373613e-05,8.085515897433789225e-08,1.422502989990244688e-08,5.354718837271434005e-10,2.782332451899099371e-12,6.718534306955679535e-14,1.100171152245602847e-14,1.258693638469075226e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
